逆順,FALSE,,名前,攻撃,防衛,,A1,A2,A3,A4,SP,SP,D1,D2,D3,D4,SP,SP,取得用,ST判定・攻撃,ST判定・防衛,SP判定・攻撃,SP判定・防衛,勝敗,マッチアップ,ユニーク,試合数,勝ち,負け,スタッツ,勝率,構築,攻撃/防衛のみ集計,試合数,,,,スタッツ,勝率,構築,簡易表示,
,,,コトリ（応援団）,コトリ（応援団）,A750,TRUE,ホシノ,シロコ＊テラー,ハルカ,ミカ,シロコ（水着）,ヒビキ,シロコ＊テラー,コトリ（応援団）,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"ホシノ,シロコ＊テラー,ハルカ,ミカ,シロコ（水着）,ヒビキ,シロコ＊テラー,A750,シュン,T350,.,.","シロコ＊テラー,シュン,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,T350,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,コハル,コハル,回復750,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,シロコ＊テラー,コトリ（応援団）,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,シロコ＊テラー,A750,シュン,T350,.,.","シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,コハル（水着）,コハル（水着）,A750,TRUE,マリナ,シロコ＊テラー,ホシノ,ハスミ（体操服）,シロコ（水着）,ヒビキ,マリナ,シロコ＊テラー,ホシノ,サオリ,シロコ（水着）,ミノリ,TRUE,,,TRUE,TRUE,TRUE,"マリナ,シロコ＊テラー,ホシノ,ハスミ（体操服）,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A650,.,.","スミレ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,コユキ,コユキ,A750,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,サオリ,サオリ,A650,TRUE,シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,A650,シュン,T350,.,.","コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,サオリ（ドレス）,サオリ（ドレス）,A650,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,シロコ＊テラー,コトリ（応援団）,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,シロコ＊テラー,A750,シュン,T350,.,.","シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,サオリ（水着）,サオリ（水着）,A650,FALSE,ホシノ,シュン,シロコ＊テラー,イオリ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,コトリ（応援団）,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"ホシノ,シュン,シロコ＊テラー,イオリ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A750,シュン,T350,.,.","サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,サキ,サキ,.,FALSE,ホシノ,シュン,シロコ＊テラー,イオリ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,コトリ（応援団）,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"ホシノ,シュン,シロコ＊テラー,イオリ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A750,シュン,T350,.,.","シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,サキ（水着）,サキ（水着）,SUP750,TRUE,イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ミノリ,シロコ＊テラー,コトリ（応援団）,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ミノリ,シロコ＊テラー,A750,シュン,T350,.,.","ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,T350,A750,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,サクラコ,サクラコ,A650,FALSE,ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,T350,T350,T350,シロコ＊テラー,.,.","サオリ,ツルギ,シロコ＊テラー,ホシノ,シロコ（水着）,ヒビキ,T350,A750,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,サクラコ（アイドル）,サクラコ（アイドル）,SUP650,TRUE,シロコ＊テラー,シュン,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,シュン,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,T350,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,ホシノ,イオリ,エイミ,シロコ（水着）,ナギサ,T350,A750,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,サツキ,サツキ,.,FALSE,シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シュン,シロコ＊テラー,T350,.,.",,,,,,,,,,,,,,,,
,,,サヤ,サヤ,.,TRUE,スミレ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,マリナ,ホシノ,レイサ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"スミレ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,マリナ,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,サヤ（私服）,サヤ（私服）,.,TRUE,イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,ホシノ,イオリ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,T350,シロコ＊テラー,.,.","アズサ,マリナ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,シグレ,シグレ,A650,TRUE,シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,ホシノ,レイサ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.","イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ヒビキ,T350,T350,シロコ＊テラー,T350,.,.",,,,,,,,,,,,,,,,
,,,シグレ（温泉）,シグレ（温泉）,.,TRUE,シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,ホシノ,レイサ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.","シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A650,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,シズコ,シズコ,.,FALSE,コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,マリナ,レイサ,ハルカ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,T350,.,.","シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,シズコ（水着）,シズコ（水着）,.,TRUE,シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,ナギサ,シロコ＊テラー,マリナ,レイサ,ハルカ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,T350,.,.","ツルギ,ホシノ,イオリ,ミカ,シロコ（水着）,ヒビキ,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,シミコ,シミコ,.,TRUE,サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,ハルカ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ジュリ,ジュリ,.,TRUE,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ジュリ（アルバイト）,ジュリ（アルバイト）,T350,FALSE,シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","シロコ＊テラー,ホシノ,サオリ,マリナ,シロコ（水着）,ミノリ,T350,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,シュン,シュン,シュン,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,シロコ＊テラー,ホシノ,エイミ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,シロコ＊テラー,T350,T350,A650,.,.","ツルギ,ホシノ,シロコ＊テラー,ミカ,シロコ（水着）,ヒビキ,T350,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,シュン（幼女）,シュン（幼女）,A750,FALSE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,T350,A650,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ジュンコ,ジュンコ,A650,TRUE,コトリ（応援団）,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"コトリ（応援団）,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,T350,A650,T350,シロコ＊テラー,.,.","ツルギ,ホシノ,シロコ＊テラー,ミカ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ジュンコ（正月）,ジュンコ（正月）,A650,FALSE,シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,A650,シュン,T350,.,.","シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ヒビキ,シロコ＊テラー,T350,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,シロコ,シロコ,A650,TRUE,シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,A650,シュン,T350,.,.","イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,サキ,T350,T350,シロコ＊テラー,A650,.,.",,,,,,,,,,,,,,,,
,,,シロコ（ライディング）,シロコ（ライディング）,A650,TRUE,ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,マリナ,コトリ（応援団）,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,T350,A750,T350,シロコ＊テラー,.,.","シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,シロコ（水着）,シロコ（水着）,.,TRUE,サオリ,ツルギ,シロコ＊テラー,ホシノ,シロコ（水着）,ヒビキ,マリナ,コトリ（応援団）,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"サオリ,ツルギ,シロコ＊テラー,ホシノ,シロコ（水着）,ヒビキ,T350,A750,T350,シロコ＊テラー,.,.","ホシノ,レイサ,シロコ＊テラー,マリナ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,シロコ＊テラー,シロコ＊テラー,シロコ＊テラー,FALSE,シロコ＊テラー,ホシノ,イオリ,エイミ,シロコ（水着）,ナギサ,マリナ,コトリ（応援団）,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,イオリ,エイミ,シロコ（水着）,ナギサ,T350,A750,T350,シロコ＊テラー,.,.","ホシノ,マリナ,シロコ＊テラー,レイサ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,スズミ,スズミ,SUP650,TRUE,シロコ＊テラー,ホシノ,イオリ,エイミ,シロコ（水着）,ナギサ,マリナ,コトリ（応援団）,ホシノ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,イオリ,エイミ,シロコ（水着）,ナギサ,T350,A750,T350,シロコ＊テラー,.,.","ホシノ,シロコ＊テラー,サオリ,ハルカ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,スミレ,スミレ,A450,FALSE,シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,マリナ,シュン,シロコ＊テラー,ホシノ,シロコ（水着）,ユズ（メイド）,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シュン,シロコ＊テラー,T350,.,.","マリナ,シロコ＊テラー,ホシノ,ハルカ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,スミレ（アルバイト）,スミレ（アルバイト）,.,TRUE,シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,ユズ（メイド）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","コトリ（応援団）,マリナ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,A650,シロコ＊テラー,T350,シュン,.,.",,,,,,,,,,,,,,,,
,,,セイア,セイア,SUP550,FALSE,シロコ＊テラー,マリナ,ハルカ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,ユズ（メイド）,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,マリナ,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","イオリ,シロコ＊テラー,ツルギ,ホシノ,シロコ（水着）,ヒビキ,A650,シロコ＊テラー,T350,シュン,.,.",,,,,,,,,,,,,,,,
,,,セナ,セナ,.,TRUE,イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,ホシノ,イオリ,マリナ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,T350,シロコ＊テラー,.,.","ツルギ,ホシノ,シロコ＊テラー,イオリ,シロコ（水着）,ヒビキ,A650,シロコ＊テラー,T350,シュン,.,.",,,,,,,,,,,,,,,,
,,,セナ（私服）,セナ（私服）,回復650,TRUE,アズサ,マリナ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,ホシノ,ハルカ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"アズサ,マリナ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,T350,.,.","ホシノ,ツルギ,シロコ＊テラー,イオリ,シロコ（水着）,ヒビキ,A650,シロコ＊テラー,T350,シュン,.,.",,,,,,,,,,,,,,,,
,,,セリカ,セリカ,A650,TRUE,イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ヒビキ,ホシノ,マリナ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ヒビキ,T350,T350,シロコ＊テラー,T350,.,.","イオリ,マリナ,シュン,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,セリカ（水着）,セリカ（水着）,.,TRUE,シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A650,シュン,T350,.,.","イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,A650,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,セリカ（正月）,セリカ（正月）,.,FALSE,シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,マリナ,ホシノ（防御）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,A650,.,.","イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,A650,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,セリナ,セリナ,.,FALSE,ツルギ,ホシノ,イオリ,ミカ,シロコ（水着）,ヒビキ,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"ツルギ,ホシノ,イオリ,ミカ,シロコ（水着）,ヒビキ,シロコ＊テラー,T350,T350,A650,.,.","イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,セリナ（クリスマス）,セリナ（クリスマス）,SUP650,TRUE,コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,A650,.,.","コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,チアキ,チアキ,A650,FALSE,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A450,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,チェリノ,チェリノ,A550,TRUE,ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,シロコ＊テラー,A650,.,.",,,,,,,,,,,,,,,,
,,,チェリノ（温泉）,チェリノ（温泉）,.,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ミノリ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,ナギサ,A650,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,チセ,チセ,A650,TRUE,シロコ＊テラー,ホシノ,サオリ,マリナ,シロコ（水着）,ミノリ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,サオリ,マリナ,シロコ（水着）,ミノリ,T350,T350,T350,シロコ＊テラー,.,.","サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,ナギサ,A650,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,チセ（水着）,チセ（水着）,SUP650,FALSE,ツルギ,ホシノ,シロコ＊テラー,ミカ,シロコ（水着）,ヒビキ,マリナ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"ツルギ,ホシノ,シロコ＊テラー,ミカ,シロコ（水着）,ヒビキ,T350,T350,T350,シロコ＊テラー,.,.","イオリ,ホシノ,シュン,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,チナツ,チナツ,.,TRUE,サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,マリナ,イオリ,ホシノ,アズサ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,T350,A650,T350,A650,.,.","ホシノ,シロコ＊テラー,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,チナツ（温泉）,チナツ（温泉）,SUP650,TRUE,ツルギ,ホシノ,シロコ＊テラー,ミカ,シロコ（水着）,ヒビキ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"ツルギ,ホシノ,シロコ＊テラー,ミカ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A750,.,.","ホシノ,レイサ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,チヒロ,チヒロ,.,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ヒビキ,シロコ＊テラー,レイサ,ホシノ,ハルカ,シロコ（水着）,ウタハ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ヒビキ,シロコ＊テラー,T350,T350,T350,.,.","シロコ＊テラー,ホシノ,シュン,ミカ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ツクヨ,ツクヨ,T350,TRUE,イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,サキ,ホシノ,マリナ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,サキ,T350,T350,シロコ＊テラー,A650,.,.","ツルギ,ミカ,シロコ＊テラー,ホシノ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
